setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
A0026,EURUSD,2025-03-03T11:00:00+00:00,2025-03-03T12:00:00+00:00,2025-03-03T14:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.04749,1.04893,1.04539,,1.69,,sl,1.04749,0.0,-1.0,-1.0,0.0,True,,1.556,-0.118,2,-1,-1,50,premium,1.0,True,9.0,4.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-02-27T09:00:00+00:00,CHoCH,CHoCH,True,False,3.87,3.2,2.13,solid,0.63,1.903,0.564,0.00165,False,,,,,False,11,bearish,with_trend,2025-03-03T10:00:00+00:00,1,2025-02-27T13:00:00+00:00,SHORT,aligned,238.3,False,0,fresh,London,London,True,True,Both,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0027,EURUSD,2025-03-04T09:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,1.04837,1.04706,1.05033,,1.77,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,6,premium,0.0,False,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-03-04T03:00:00+00:00,CHoCH,CHoCH,False,False,1.49,1.72,1.14,marginal,0.599,,0.921,0.00152,False,,,,,False,9,bearish,against_trend,2025-03-04T08:00:00+00:00,1,2025-03-04T08:00:00+00:00,LONG,counter,75.4,False,0,no_fvg,Asia,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0028,EURUSD,2025-03-06T05:00:00+00:00,2025-03-06T07:00:00+00:00,2025-03-06T09:00:00+00:00,Asia,bullish,BOS BOS,proximal,1.07922,1.07806,1.08201,,2.91,,sl,1.07922,0.0,-1.0,-1.0,0.0,True,,2.595,-0.034,2,-1,-1,8,premium,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-03-05T21:00:00+00:00,BOS,BOS,False,False,0.98,1.1,1.1,marginal,0.405,,10.391,0.001876,False,,,,,False,5,bullish,with_trend,2025-03-06T04:00:00+00:00,1,2025-03-06T01:00:00+00:00,LONG,counter,93.9,False,4,no_fvg,Other,London,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0029,EURUSD,2025-03-11T08:00:00+00:00,,,London,bullish,BOS BOS,proximal,1.08557,1.08315,1.09014,,2.06,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-03-11T05:00:00+00:00,BOS,BOS,False,False,0.93,1.98,1.98,solid,1.172,,3.313,0.001724,False,,,,,False,8,bullish,with_trend,2025-03-11T07:00:00+00:00,1,2025-03-11T07:00:00+00:00,LONG,counter,52.6,False,6,no_fvg,Asia,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0030,EURUSD,2025-03-14T11:00:00+00:00,,,London,bullish,BOS BOS,proximal,1.08507,1.08309,1.08782,,1.54,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,5,discount,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-03-14T06:00:00+00:00,BOS,BOS,False,False,2.43,2.89,2.89,strong,1.063,,0.989,0.001486,False,,,,,False,11,bullish,with_trend,2025-03-14T10:00:00+00:00,1,2025-03-14T10:00:00+00:00,LONG,aligned,19.9,False,2,no_fvg,Asia,London,True,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0031,EURUSD,2025-03-17T10:00:00+00:00,2025-03-19T07:00:00+00:00,2025-03-19T11:00:00+00:00,London,bullish,BOS BOS,proximal,1.08823,1.08696,1.09124,,2.81,,tp1,1.09124,2.37,2.81,0.0,592.5,True,,3.236,-0.724,4,4,-1,5,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-03-17T05:00:00+00:00,BOS,BOS,False,False,0.5,1.39,1.39,marginal,0.729,,1.677,0.001193,False,,,,,False,10,bullish,with_trend,2025-03-17T09:00:00+00:00,1,2025-03-17T09:00:00+00:00,LONG,aligned,21.8,False,2,no_fvg,Asia,London,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0032,EURUSD,2025-03-18T09:00:00+00:00,2025-03-18T12:00:00+00:00,2025-03-18T12:00:00+00:00,London,bullish,BOS BOS,proximal,1.09136,1.09032,1.09279,,1.7,,sl,1.09032,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,0,-1,-1,4,premium,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-03-18T05:00:00+00:00,BOS,BOS,True,False,0.79,1.78,1.78,solid,0.704,0.297,5.921,0.000909,False,,,,,False,9,bullish,with_trend,2025-03-18T08:00:00+00:00,1,2025-03-18T07:00:00+00:00,LONG,counter,52.3,False,3,fresh,Asia,London,False,True,Fill only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0033,EURUSD,2025-03-19T08:00:00+00:00,,,London,bearish,CHoCH CHoCH,proximal,1.09296,1.09405,1.09034,1.08924,2.94,4.18,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,3,premium,1.0,True,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-03-19T05:00:00+00:00,CHoCH,CHoCH,True,False,3.45,2.46,1.64,solid,0.615,0.553,0.669,0.001121,False,,,,,False,8,bullish,against_trend,2025-03-19T07:00:00+00:00,1,2025-03-19T07:00:00+00:00,SHORT,aligned,70.9,False,0,fresh,Asia,London,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0034,EURUSD,2025-03-20T14:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.07897,1.07702,1.08201,,1.74,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,233,discount,0.0,,8.0,3.0,1.0,2.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2025-03-06T21:00:00+00:00,BOS,BOS,True,True,0.59,1.03,1.03,marginal,1.418,0.311,6.424,0.001093,False,,,,,False,14,bullish,with_trend,2025-03-20T13:00:00+00:00,1,2025-03-07T10:00:00+00:00,LONG,aligned,-29.9,False,7,fresh,Other,NY,False,False,never_filled,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A0035,EURUSD,2025-03-21T16:00:00+00:00,2025-03-23T23:00:00+00:00,2025-03-24T08:00:00+00:00,NY,bearish,BOS BOS,proximal,1.0835,1.08555,1.0805,,1.62,,sl,1.08555,-1.0,-1.0,-1.0,-250.0,True,,0.883,-0.741,9,-1,-1,5,discount,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-03-21T11:00:00+00:00,BOS,BOS,False,False,0.8,1.03,1.03,marginal,0.988,,2.36,0.001669,False,,,,,False,16,bearish,with_trend,2025-03-21T15:00:00+00:00,1,2025-03-21T15:00:00+00:00,SHORT,counter,31.4,False,2,no_fvg,London,Other,True,False,OB only,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
