setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,sl_bar_was_sweep,sl_swept_then_tp1,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,ob_body_ratio,ob_walkback_depth,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,killzone_blocked,killzone_windows
A6305,EURUSD,2008-02-15T06:00:00+00:00,2008-02-15T06:00:00+00:00,2008-02-15T08:00:00+00:00,Asia,bullish,Confirmation BOS,proximal,1.4644,1.4631,1.4629,1.467,,2.0,,tp1,1.467,1.733,2.0,0.0,433.25,True,,1.733,-0.133,,,2,2,-1,7.0,2.0,7,premium,0.0,,6.0,4.0,1.0,0.0,1.0,0.0,"structure,sweep,freshness",False,h1_only,2008-02-14T23:00:00+00:00,BOS,Confirm,holding,False,none,True,1,0.95,1.61,1.61,solid,1.062,,5.503,0.001036,0.545,0,False,,,,,False,6,bullish,with_trend,2008-02-15T05:00:00+00:00,1,2008-02-15T04:00:00+00:00,LONG,,counter,86.3,False,1,no_fvg,Other,Asia,False,False,Neither,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6306,EURUSD,2008-02-15T13:00:00+00:00,2008-02-15T16:00:00+00:00,2008-02-15T18:00:00+00:00,NY,bullish,BOS BOS,proximal,1.4663,1.4642,1.464,1.4707,,2.1,,friday_flat,1.4669,0.261,-1.0,-1.0,65.25,True,,0.304,-0.304,,,2,-1,-1,10.0,8.0,7,premium,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2008-02-15T06:00:00+00:00,BOS,BOS,holding,False,full,False,1,1.56,1.71,1.71,solid,1.011,,3.992,0.001879,0.737,0,False,,,,,False,13,bullish,with_trend,2008-02-15T12:00:00+00:00,1,2008-02-15T08:00:00+00:00,LONG,,counter,80.0,False,2,fresh,Asia,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6307,EURUSD,2008-02-18T08:00:00+00:00,2008-02-19T04:00:00+00:00,2008-02-19T04:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.4676,1.4687,1.4688999999999999,1.4656,,1.82,,sl,1.4688999999999999,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,0,-1,-1,25.0,21.0,5,premium,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2008-02-18T03:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,0,1.63,2.19,1.46,marginal,0.656,,1.094,0.001371,0.667,1,False,,,,,False,8,bullish,against_trend,2008-02-18T07:00:00+00:00,1,2008-02-18T07:00:00+00:00,SHORT,,aligned,82.4,False,0,no_fvg,Asia,Asia,False,False,Neither,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6308,EURUSD,2008-02-20T11:00:00+00:00,2008-02-20T11:00:00+00:00,2008-02-20T11:00:00+00:00,London,bullish,BOS BOS,proximal,1.4655,1.464,1.4638,1.4678,,1.53,,sl,1.4638,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,True,0,-1,-1,37.0,30.0,37,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2008-02-18T22:00:00+00:00,BOS,BOS,holding,False,full,False,0,2.79,1.56,1.56,solid,0.888,,0.137,0.001464,0.231,0,False,,,,,False,11,bullish,with_trend,2008-02-20T10:00:00+00:00,1,2008-02-19T05:00:00+00:00,LONG,,aligned,34.1,False,1,fresh,Other,London,False,False,Neither,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6309,EURUSD,2008-02-21T15:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.4737,1.4723,1.4721,1.4772,,2.5,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,2,premium,0.0,,7.0,3.0,1.0,0.0,2.0,1.0,"structure,sweep,freshness",False,h1_only,2008-02-21T13:00:00+00:00,BOS,BOS,holding,False,none,True,0,1.31,2.33,2.33,solid,0.54,,2.386,0.002221,0.25,0,False,,,,,False,15,bullish,with_trend,2008-02-21T14:00:00+00:00,1,2008-02-21T14:00:00+00:00,LONG,,counter,68.9,False,5,no_fvg,NY,NY,True,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6310,EURUSD,2008-02-26T07:00:00+00:00,2008-02-26T08:00:00+00:00,2008-02-26T08:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.4822,1.483,1.4832,1.4805,,2.13,,sl,1.4832,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,0,-1,-1,6.0,2.0,5,premium,0.0,False,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2008-02-26T02:00:00+00:00,CHoCH,CHoCH,holding,False,full,False,0,2.45,1.99,1.33,marginal,0.488,,0.733,0.001229,0.5,1,False,,,,,False,7,bullish,against_trend,2008-02-26T06:00:00+00:00,1,2008-02-26T06:00:00+00:00,SHORT,,aligned,53.0,False,0,fresh,Asia,London,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6311,EURUSD,2008-02-26T13:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.4826,1.4808,1.4806,1.4858,,1.78,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,9,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2008-02-26T04:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,0.68,2.23,2.23,solid,0.752,2.067,0.658,0.002129,0.938,1,False,,,,,False,13,bullish,with_trend,2008-02-26T12:00:00+00:00,1,2008-02-26T08:00:00+00:00,LONG,,aligned,44.0,False,4,fresh,Asia,NY,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6312,EURUSD,2008-02-26T17:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.4826,1.4776,1.4774,1.4906,,1.6,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,11,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2008-02-26T06:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,0.53,1.73,1.73,solid,1.861,1.706,0.543,0.002579,0.542,0,False,,,,,False,17,bullish,with_trend,2008-02-26T16:00:00+00:00,1,2008-02-26T08:00:00+00:00,LONG,,aligned,33.3,False,4,fresh,Asia,NY,False,False,never_filled,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6313,EURUSD,2008-02-28T07:00:00+00:00,,,London,bullish,BOS BOS,proximal,1.5049,1.5023,1.5021,1.5137,,3.38,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,21,premium,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2008-02-27T10:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,0.67,1.79,1.79,solid,1.231,0.462,5.385,0.00195,0.5,1,False,,,,,False,7,bullish,with_trend,2008-02-28T06:00:00+00:00,1,2008-02-27T14:00:00+00:00,LONG,,counter,74.5,False,3,fresh,London,London,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6314,EURUSD,2008-02-28T15:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.511,1.507,1.5068,1.518,,1.75,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,6,discount,0.0,,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2008-02-28T09:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,0.82,1.73,1.73,solid,1.622,0.341,1.024,0.002343,0.316,0,False,,,,,False,15,bullish,with_trend,2008-02-28T14:00:00+00:00,1,2008-02-28T13:00:00+00:00,LONG,,aligned,35.2,False,6,fresh,London,NY,True,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6315,EURUSD,2008-03-03T14:00:00+00:00,2008-03-03T15:00:00+00:00,2008-03-03T15:00:00+00:00,NY,bullish,BOS BOS,proximal,1.5185,1.5163,1.5161,1.5224,,1.77,,sl,1.5161,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,True,True,0,-1,-1,7.0,2.0,6,discount,0.0,,7.0,3.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2008-03-03T08:00:00+00:00,BOS,BOS,holding,True,partial,False,0,1.17,2.33,2.33,solid,0.814,0.529,2.849,0.002457,0.25,0,False,,,,,False,14,bullish,with_trend,2008-03-03T13:00:00+00:00,1,2008-03-03T13:00:00+00:00,LONG,,aligned,22.7,False,3,fresh,London,NY,True,True,Both,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
