setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_age_h1_bars,pd_zone,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,fvg_present,sweep_present,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,alert_bar_ts,alert_seq,bos_timestamp,bias,pd_alignment,pd_pct,break_tier,break_close_atr,break_excess,break_body_atr,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,killzone_blocked,killzone_windows
T0001,EURUSD,2024-07-04T09:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,1.07898,1.07823,1.08003,,1.91,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,6,premium,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-07-04T03:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,9,bullish,with_trend,2024-07-04T08:00:00+00:00,1,2024-07-04T08:00:00+00:00,LONG,counter,72.3,marginal,1.14,1.14,1.14,fresh,Asia,London,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0002,EURUSD,2024-07-04T09:00:00+00:00,,,London,bullish,CHoCH CHoCH,50pct,1.07881,1.07823,1.08003,,3.211,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,6,premium,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-07-04T03:00:00+00:00,CHoCH,CHoCH,True,False,False,,,,,False,9,bullish,with_trend,2024-07-04T08:00:00+00:00,1,2024-07-04T08:00:00+00:00,LONG,counter,70.7,marginal,1.14,1.14,1.14,fresh,Asia,London,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0003,EURUSD,2024-07-15T18:00:00+00:00,2024-07-17T07:00:00+00:00,2024-07-17T08:00:00+00:00,NY,bearish,BOS BOS,proximal,1.09099,1.09222,1.08873,,2.18,,sl,1.09222,-1.0,-1.0,-1.0,-250.0,True,,0.968,-2.911,1,-1,-1,5,premium,6.0,1.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2024-07-15T13:00:00+00:00,BOS,BOS,True,False,False,,,,,False,18,bearish,with_trend,2024-07-15T17:00:00+00:00,1,2024-07-15T17:00:00+00:00,SHORT,aligned,62.5,solid,0.78,1.94,0.78,fresh,NY,London,True,True,Both,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0004,EURUSD,2024-07-15T18:00:00+00:00,2024-07-17T07:00:00+00:00,2024-07-17T08:00:00+00:00,NY,bearish,BOS BOS,50pct,1.09141,1.09222,1.08873,,4.393,,sl,1.09222,-1.0,-1.0,-1.0,-250.0,True,,1.988,-3.902,1,-1,-1,5,premium,6.0,1.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2024-07-15T13:00:00+00:00,BOS,BOS,True,False,False,,,,,False,18,bearish,with_trend,2024-07-15T17:00:00+00:00,1,2024-07-15T17:00:00+00:00,SHORT,aligned,73.5,solid,0.78,1.94,0.78,fresh,NY,London,True,True,Both,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0005,EURUSD,2024-07-16T13:00:00+00:00,2024-07-16T18:00:00+00:00,2024-07-17T07:00:00+00:00,NY,bearish,BOS BOS,proximal,1.0898,1.09103,1.08648,,3.21,,sl,1.09103,-1.0,-1.0,-1.0,-250.0,True,,0.387,-1.45,13,-1,-1,2,discount,5.0,1.0,1.0,0.0,2.0,1.0,"structure,sweep,freshness",False,h1_only,2024-07-16T11:00:00+00:00,BOS,BOS,False,True,False,,,,,False,13,bearish,with_trend,2024-07-16T12:00:00+00:00,1,2024-07-16T12:00:00+00:00,SHORT,counter,40.5,marginal,0.47,1.16,2.8,no_fvg,London,NY,True,False,OB only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0006,EURUSD,2024-07-16T13:00:00+00:00,2024-07-16T19:00:00+00:00,2024-07-17T07:00:00+00:00,NY,bearish,BOS BOS,50pct,1.09022,1.09103,1.08648,,6.131,,sl,1.09103,-1.0,-1.0,-1.0,-250.0,True,,0.519,-1.684,12,-1,-1,2,premium,5.0,1.0,1.0,0.0,2.0,1.0,"structure,sweep,freshness",False,h1_only,2024-07-16T11:00:00+00:00,BOS,BOS,False,True,False,,,,,False,13,bearish,with_trend,2024-07-16T12:00:00+00:00,1,2024-07-16T12:00:00+00:00,SHORT,aligned,50.0,marginal,0.47,1.16,2.8,no_fvg,London,NY,True,False,OB only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0007,EURUSD,2024-07-23T10:00:00+00:00,,,London,bearish,BOS BOS,proximal,1.08956,1.09032,1.08861,1.08826,1.71,2.34,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,7,premium,4.0,1.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-07-23T03:00:00+00:00,BOS,BOS,True,False,False,,,,,False,10,bearish,with_trend,2024-07-23T09:00:00+00:00,1,2024-07-23T09:00:00+00:00,SHORT,aligned,87.9,solid,0.9,2.24,1.43,fresh,Asia,London,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0008,EURUSD,2024-07-23T10:00:00+00:00,,,London,bearish,BOS BOS,50pct,1.08974,1.09032,1.08861,1.08826,2.974,3.895,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,0,-1,-1,7,premium,4.0,1.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-07-23T03:00:00+00:00,BOS,BOS,True,False,False,,,,,False,10,bearish,with_trend,2024-07-23T09:00:00+00:00,1,2024-07-23T09:00:00+00:00,SHORT,aligned,94.0,solid,0.9,2.24,1.43,fresh,Asia,London,False,False,never_filled,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0009,EURUSD,2024-07-23T13:00:00+00:00,2024-07-24T07:00:00+00:00,2024-07-24T07:00:00+00:00,NY,bullish,BOS BOS,proximal,1.08413,1.08349,1.08483,1.08778,1.62,8.4,sl,1.08349,-1.0,-1.0,-1.0,-250.0,True,,2.204,-1.654,0,-1,-1,198,discount,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-07-11T05:00:00+00:00,BOS,BOS,True,False,False,,,,,False,13,bearish,against_trend,2024-07-23T12:00:00+00:00,1,2024-07-11T08:00:00+00:00,LONG,aligned,35.3,strong,1.13,2.83,1.32,fresh,Asia,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
T0010,EURUSD,2024-07-23T13:00:00+00:00,2024-07-24T07:00:00+00:00,2024-07-24T07:00:00+00:00,NY,bullish,BOS BOS,50pct,1.08401,1.08349,1.08483,1.08778,2.563,11.781,sl,1.08349,-1.0,-1.0,-1.0,-250.0,True,,2.944,-1.805,0,-1,-1,198,discount,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2024-07-11T05:00:00+00:00,BOS,BOS,True,False,False,,,,,False,13,bearish,against_trend,2024-07-23T12:00:00+00:00,1,2024-07-11T08:00:00+00:00,LONG,aligned,34.0,strong,1.13,2.83,1.32,fresh,Asia,London,False,True,Fill only,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
