setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,tp1_wick,tp1_wick_rr,tp1_zone_source,tp2_wick,tp2_zone_source,tp_wick,tp_wick_rr,tp_nextpool,tp_nextpool_rr,tp_nextpool_zone_source,tp2_collapsed_to_tp1,tp_targets,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,ob_body_ratio,ob_walkback_depth,chop_at_alert,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,day_state_at_fill,pdh_status_at_fill,pdl_status_at_fill,pwh_status_at_fill,pwl_status_at_fill,dist_next_pool_above_atr,dist_next_pool_below_atr,next_pool_above_tier,next_pool_below_tier,trade_toward_pool,last_sweep_age_h1,last_sweep_tier,eqh_above_dist_atr,eqh_above_size,eql_below_dist_atr,eql_below_size,eq_trade_toward,eq_sl_gap_atr,eq_sl_at_risk,eq_last_sweep_age_h1,eq_last_sweep_side,eq_intact_above_count,eq_intact_below_count,sweep2_present,sweep2_tier,sweep2_level,sweep2_pierce_atr,sweep2_rejection_ratio,sweep2_follow_atr,sweep2_pools_swept,sweep2_rn_aligned,sweep2_rn_dist_atr,sweep2_eq_size,sweep2_age_at_alert_h1,sweep2_tiers_checked,setup_liq_stop_present,setup_liq_stop_offset_atr,setup_liq_stop_tier,setup_liq_tp_present,setup_liq_tp_offset_atr,setup_liq_legextreme_swept,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,leg_er_at_alert,setup_badge,setup_badge_kind,weekly_pd_position_at_alert,weekly_range_high_at_alert,weekly_range_low_at_alert,weekly_pd_zone_at_alert,pd_zone_agreement_at_alert,approach_speed_atr_at_fill,approach_body_ratio_at_fill,approach_er_at_fill,killzone_blocked,killzone_windows,news_fill,news_fill_event,news_fill_ccy,news_open,news_open_event
B3836,EURUSD,2016-05-02T11:00:00+00:00,2016-05-02T14:00:00+00:00,2016-05-02T15:00:00+00:00,London,bullish,BOS BOS,proximal,1.1469,1.14535,1.14515,1.14845,,1.0,,1.14845,1.0,wick,,,,,,,,False,triple,tp1,1.14845,0.886,1.0,1.303,221.5,True,,0.886,-0.0,1.0,,,,,,,1.413,1,1,-1,7.0,4.0,4,premium,0.0,,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2016-05-02T07:00:00+00:00,BOS,BOS,0,holding,True,pristine,False,0,0.33,0.55,0.55,marginal,1.09,0.509,8.994,0.001239,0.585,0,49.773,False,,,,,False,11,bullish,with_trend,False,False,False,,1.14922,False,True,False,EXPANSION_UP,broken,intact,broken,intact,,9.85,,PD,False,14.0,PD,,,17.205,2.0,False,15.792,False,66.0,low,0.0,1.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,2016-05-02T10:00:00+00:00,1,2016-05-02T10:00:00+00:00,LONG,,counter,89.5,False,10,fresh,London,NY,True,True,Both,1.0,,,1.0409,1.1459,1.12145,premium,both_premium,0.161,0.286,0.61,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",1.0,ISM Manufacturing PMI,USD,1.0,ISM Manufacturing PMI
B3837,EURUSD,2016-05-03T17:00:00+00:00,2016-05-05T08:00:00+00:00,2016-05-05T09:00:00+00:00,NY,bullish,Range BOS,proximal,1.1459,1.14369,1.14349,1.14811,,1.0,,1.14811,1.0,wick,,,,,,,,False,triple,sl,1.14349,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,False,0.121,3.027,,True,1.329,1,-1,-1,136.0,82.0,49,premium,0.0,,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2016-04-29T16:00:00+00:00,BOS,Range,0,fading,False,none,False,1,0.11,0.38,0.38,marginal,1.108,,4.929,0.001814,0.607,1,39.478,False,,,,,False,17,bullish,with_trend,False,False,False,,1.1481,False,False,False,INSIDE,intact,intact,broken,intact,0.38,13.482,PD,PW,True,80.0,PW,,,11.199,2.0,False,9.87,False,17.0,high,0.0,1.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,2016-05-03T16:00:00+00:00,2,2016-05-01T22:00:00+00:00,LONG,,counter,100.0,False,1,no_fvg,NY,London,False,True,Fill only,0.68,Caution: Late-Trend Chase,caution,1.0,1.1459,1.12145,premium,both_premium,0.022,0.395,0.161,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B3838,EURUSD,2016-05-05T09:00:00+00:00,,,London,bearish,BOS BOS,proximal,1.14837,1.14954,1.14974,1.1469,,1.26,,1.14479,3.06,zone,,,1.1451,2.79,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.327,0,-1,-1,,,3,discount,0.0,,6.0,3.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2016-05-05T06:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.96,2.91,2.91,strong,0.94,,2.664,0.001032,0.619,0,41.021,False,,,,,False,9,bearish,with_trend,False,False,False,,1.14505,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",True,-0.388,bare,False,,False,2016-05-05T08:00:00+00:00,1,2016-05-05T08:00:00+00:00,SHORT,,counter,42.2,False,2,no_fvg,London,London,True,False,never_filled,1.0,,,1.101,1.1459,1.12145,premium,mixed,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B3839,EURUSD,2016-05-06T14:00:00+00:00,,,NY,bearish,Confirmation BOS,proximal,1.14998,1.15075,1.15095,1.14921,,1.0,,1.14921,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.525,0,-1,-1,,,61,premium,0.0,,4.0,4.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2016-05-04T01:00:00+00:00,BOS,Confirm,0,holding,False,full,False,2,0.32,1.01,1.01,marginal,0.308,,1.889,0.001848,0.684,0,35.576,False,,,,,False,14,bearish,with_trend,True,False,False,,1.14762,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,2016-05-06T13:00:00+00:00,2,2016-05-04T02:00:00+00:00,SHORT,,aligned,66.3,False,1,stale,Asia,NY,False,False,never_filled,1.0,,,1.1669,1.1459,1.12145,premium,both_premium,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B3840,EURUSD,2016-05-06T14:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.14837,1.14954,1.14974,1.1472,,1.0,,1.1472,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.327,0,-1,-1,,,32,discount,0.0,,7.0,3.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2016-05-05T06:00:00+00:00,BOS,BOS,0,holding,True,partial,False,0,0.96,2.91,2.91,strong,0.94,2.471,2.664,0.001032,0.619,0,35.576,False,,,,,False,14,bearish,with_trend,False,False,False,,1.13856,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",True,-0.388,bare,False,,False,2016-05-06T13:00:00+00:00,2,2016-05-05T08:00:00+00:00,SHORT,,counter,42.2,False,2,fresh,London,NY,True,False,never_filled,0.855,,,1.101,1.1459,1.12145,premium,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B3841,EURUSD,2016-05-06T15:00:00+00:00,2016-05-10T12:00:00+00:00,2016-05-10T13:00:00+00:00,NY,bullish,BOS BOS,proximal,1.13591,1.13464,1.13444,1.13718,,1.0,,1.13718,1.0,wick,,,,,,,,False,triple,tp1,1.13718,0.864,1.0,3.088,216.0,True,,0.864,-0.0,1.0,,,,,,,0.782,1,1,-1,279.0,179.0,138,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2016-04-28T21:00:00+00:00,BOS,BOS,0,holding,True,pristine,False,0,0.07,1.05,1.05,marginal,0.569,0.234,2.75,0.00188,0.327,0,40.049,False,,,,,False,15,bearish,counter_trend,False,False,False,,1.14141,False,,,SWEPT_LOW,intact,swept,intact,broken,3.207,,PD,,True,2.0,PW,7.144,2.0,,,True,,,5.0,low,1.0,0.0,False,,,,,,0,,,,,"eq,sw",False,,,False,,False,2016-05-06T14:00:00+00:00,2,2016-04-29T01:00:00+00:00,LONG,,aligned,4.5,False,2,fresh,Other,NY,False,True,Fill only,0.421,,,0.5914,1.1459,1.12145,premium,mixed,1.511,0.543,0.212,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B3842,EURUSD,2016-05-10T04:00:00+00:00,2016-05-10T04:00:00+00:00,2016-05-10T06:00:00+00:00,Asia,bearish,Range BOS,proximal,1.13792,1.13863,1.13883,1.13696,,1.35,,1.13696,1.35,wick,,,1.13696,1.35,,,,True,triple,tp1,1.13696,1.055,1.35,0.0,263.75,True,,1.055,-0.363,1.0,,,,,,,0.744,2,2,-1,5.0,1.0,5,discount,0.0,,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2016-05-09T23:00:00+00:00,BOS,Range,0,holding,False,none,False,0,0.03,0.21,0.21,marginal,0.417,,3.345,0.001223,0.333,2,44.834,False,,,,,False,4,bearish,with_trend,False,False,False,,1.13705,False,False,False,SWEPT_LOW,intact,swept,intact,broken,3.287,,PD,,False,0.0,PD,9.339,2.0,,,False,8.595,False,105.0,high,1.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,True,0.0,True,2016-05-10T03:00:00+00:00,1,2016-05-10T03:00:00+00:00,SHORT,,counter,4.0,False,1,no_fvg,Asia,Asia,False,False,Neither,0.605,,,-0.0278,1.16159,1.13856,discount,both_discount,-0.401,0.187,0.258,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B3843,EURUSD,2016-05-10T10:00:00+00:00,2016-05-10T10:00:00+00:00,2016-05-10T11:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.13825,1.13711,1.13691,1.13923,,0.86,,1.14194,3.24,zone,,,1.14162,2.96,,,,False,triple,sl,1.13691,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,False,0.67,,3.0,,1.247,1,-1,-1,5.0,1.0,5,discount,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2016-05-10T05:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.21,1.1,0.73,marginal,0.875,,1.089,0.001074,0.564,0,57.298,False,,,,,False,10,bearish,ambiguous,False,False,True,bullish,1.14016,False,False,False,SWEPT_LOW,intact,swept,intact,swept,3.435,,PD,,True,0.0,PW,10.323,2.0,,,True,,,111.0,high,1.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",True,0.028,bare,False,,False,2016-05-10T09:00:00+00:00,1,2016-05-10T09:00:00+00:00,LONG,,aligned,11.9,False,0,no_fvg,Asia,London,False,False,Neither,1.0,,,-0.0135,1.16159,1.13856,discount,both_discount,-1.07,0.338,0.61,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B3844,EURUSD,2016-05-10T13:00:00+00:00,2016-05-10T13:00:00+00:00,2016-05-10T15:00:00+00:00,NY,bearish,BOS BOS,proximal,1.13822,1.1398,1.14,1.13395,,2.7,,1.131,4.57,zone,,,1.1314,4.32,,,,False,triple,sl,1.14,-1.0,-1.0,-1.0,-250.0,True,,0.59,-0.736,-1.695,True,False,0.716,3.444,,True,1.327,2,-1,-1,4.0,2.0,4,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2016-05-10T09:00:00+00:00,BOS,BOS,1,holding,True,pristine,False,0,0.5,1.41,1.41,marginal,1.029,0.201,1.715,0.001341,0.304,0,54.936,False,,,,,False,13,bearish,with_trend,False,False,False,,1.13583,False,False,True,EXPANSION_DOWN,intact,broken,intact,broken,2.773,,PD,,False,3.0,PW,8.29,2.0,,,False,6.963,False,114.0,high,1.0,0.0,False,,,,,,0,,,,,,True,0.119,bare,False,,False,2016-05-10T12:00:00+00:00,1,2016-05-10T11:00:00+00:00,SHORT,,counter,19.7,False,1,fresh,London,NY,False,True,Fill only,0.811,,,-0.0148,1.16159,1.13856,discount,both_discount,-2.177,0.552,0.373,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B3845,EURUSD,2016-05-11T08:00:00+00:00,2016-05-11T08:00:00+00:00,2016-05-11T10:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.13849,1.13775,1.13755,1.14096,,3.34,,1.14096,3.34,wick,,,1.14096,3.34,,,,True,triple,sl,1.13849,0.0,3.34,0.0,0.0,True,,1.032,-0.053,0.0,True,True,0.113,7.056,3.0,True,1.176,2,5,-1,3.0,1.0,3,discount,1.0,True,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2016-05-11T05:00:00+00:00,CHoCH,CHoCH,0,holding,True,pristine,False,0,0.07,0.56,0.37,marginal,0.676,0.113,0.976,0.000799,0.685,0,49.624,False,,,,,False,8,bearish,ambiguous,False,False,True,bullish,1.1394,False,False,False,INSIDE,intact,intact,intact,swept,3.09,3.328,PD,PD,True,1.0,PW,13.575,2.0,,,True,,,133.0,high,1.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,True,0.0,False,2016-05-11T07:00:00+00:00,1,2016-05-11T07:00:00+00:00,LONG,True,aligned,21.9,False,0,fresh,Asia,London,False,True,Fill only,1.0,,,-0.003,1.16159,1.13856,discount,both_discount,-1.063,0.648,0.564,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B3846,EURUSD,2016-05-12T07:00:00+00:00,2016-05-12T07:00:00+00:00,2016-05-12T08:00:00+00:00,London,bearish,BOS BOS,proximal,1.14215,1.14291,1.14311,1.14139,,1.0,,1.14139,1.0,wick,,,,,,,,False,triple,tp1,1.14139,0.792,1.0,11.0,198.0,True,,0.792,-0.0,1.0,,,,,,,1.296,1,1,-1,2.0,1.0,2,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2016-05-12T05:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.49,0.93,0.93,marginal,0.756,,1.067,0.000741,0.214,0,67.827,False,,,,,False,7,bearish,with_trend,True,False,False,,1.14172,False,False,False,INSIDE,intact,intact,intact,swept,3.335,7.196,PD,PD,False,20.0,PW,9.707,2.0,,,False,8.411,False,156.0,high,1.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",True,-0.311,bare,False,,False,2016-05-12T06:00:00+00:00,1,2016-05-12T06:00:00+00:00,SHORT,,aligned,71.9,False,1,no_fvg,Asia,London,False,True,Fill only,,,,0.1559,1.16159,1.13856,discount,mixed,-0.635,0.449,0.376,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B3847,EURUSD,2016-05-13T04:00:00+00:00,2016-05-13T04:00:00+00:00,2016-05-13T07:00:00+00:00,Asia,bearish,BOS BOS,proximal,1.13725,1.13809,1.13829,1.13653,,0.86,,1.13653,0.86,wick,,,1.13653,0.86,,,,True,triple,tp1,1.13653,0.692,0.86,5.519,173.0,True,,0.692,-0.365,1.0,,,,,,,0.924,3,3,-1,5.0,1.0,5,discount,0.0,,3.0,1.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2016-05-12T23:00:00+00:00,BOS,BOS,0,fading,False,none,False,0,0.05,0.39,0.39,marginal,0.569,,3.926,0.001126,0.609,0,65.236,False,,,,,False,4,bearish,with_trend,False,False,False,,1.13664,False,False,False,EXPANSION_DOWN,intact,broken,intact,broken,5.001,,PD,,False,6.0,PD,10.74,2.0,,,False,9.816,False,177.0,high,1.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,True,0.0,False,2016-05-13T03:00:00+00:00,1,2016-05-13T03:00:00+00:00,SHORT,,counter,16.2,False,3,no_fvg,Asia,Asia,False,False,Neither,1.0,Caution: Late-Trend Chase,caution,-0.0569,1.16159,1.13856,discount,both_discount,-0.373,0.303,0.476,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B3848,EURUSD,2016-05-13T08:00:00+00:00,,,London,bearish,BOS BOS,proximal,1.13694,1.13776,1.13796,1.13612,,1.0,,1.13612,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.134,0,-1,-1,,,4,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2016-05-13T04:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,2.74,3.51,3.51,strong,0.689,,5.338,0.000899,0.645,1,36.874,False,,,,,False,8,bearish,with_trend,False,False,False,,1.13401,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,2016-05-13T07:00:00+00:00,1,2016-05-13T07:00:00+00:00,SHORT,,counter,27.6,False,4,no_fvg,Asia,London,False,False,never_filled,0.988,,,-0.0703,1.16159,1.13856,discount,both_discount,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B3849,EURUSD,2016-05-16T10:00:00+00:00,2016-05-16T10:00:00+00:00,2016-05-16T11:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.13125,1.13057,1.13037,1.13193,,1.0,,1.13193,1.0,wick,,,,,,,,False,triple,tp1,1.13193,0.773,1.0,0.0,193.25,True,,0.773,-0.0,1.0,,,,,,,0.865,1,1,-1,4.0,1.0,4,discount,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2016-05-16T06:00:00+00:00,CHoCH,CHoCH,0,holding,False,full,False,0,0.21,0.99,0.66,marginal,0.472,,0.472,0.001017,0.396,0,56.8,False,,,,,False,10,bearish,ambiguous,False,False,True,bullish,1.13304,False,False,False,INSIDE,intact,intact,intact,intact,6.636,2.949,PD,PW,False,,,17.785,2.0,,,True,,,1.0,high,1.0,0.0,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,2016-05-16T09:00:00+00:00,1,2016-05-16T09:00:00+00:00,LONG,,aligned,18.3,False,0,fresh,London,London,True,False,OB only,1.0,,,0.1833,1.14462,1.12825,discount,both_discount,-1.347,0.346,0.799,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B3850,EURUSD,2016-05-16T14:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.13694,1.13776,1.13796,1.13612,,1.0,,1.13612,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.134,0,-1,-1,,,34,discount,0.0,,6.0,3.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2016-05-13T04:00:00+00:00,BOS,BOS,0,holding,True,partial,False,0,2.74,3.51,3.51,strong,0.689,2.947,5.338,0.000899,0.645,1,55.282,False,,,,,False,14,bearish,counter_trend,False,False,True,bullish,1.13285,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,2016-05-16T13:00:00+00:00,3,2016-05-13T07:00:00+00:00,SHORT,,counter,27.6,False,4,fresh,Asia,NY,False,False,never_filled,0.851,,,0.5308,1.14462,1.12825,premium,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B3851,EURUSD,2016-05-17T14:00:00+00:00,2016-05-17T14:00:00+00:00,2016-05-17T14:00:00+00:00,NY,bearish,BOS BOS,proximal,1.13187,1.13322,1.13342,1.12992,,1.44,,1.12825,2.68,zone,,,1.12859,2.43,,,,False,triple,sl,1.13342,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,False,1.219,,12.0,,1.35,0,-1,-1,4.0,1.0,4,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2016-05-17T10:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,0.03,0.83,0.83,marginal,1.001,,2.534,0.001149,0.461,0,54.089,False,,,,,False,14,bearish,with_trend,True,False,False,,1.13013,False,False,False,SWEPT_LOW,intact,swept,intact,intact,2.029,3.152,PD,PW,False,0.0,PD,15.21,2.0,0.688,3.0,True,13.861,False,0.0,high,1.0,1.0,False,,,,,,0,,,,,"pd,eq,sw",True,0.496,PD,False,,False,2016-05-17T13:00:00+00:00,1,2016-05-17T13:00:00+00:00,SHORT,,aligned,63.1,False,1,no_fvg,London,NY,False,True,Fill only,1.0,,,0.2211,1.14462,1.12825,discount,mixed,-1.637,0.491,0.383,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",0.0,,,0.0,
B3852,EURUSD,2016-05-17T15:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.13718,1.13898,1.13918,1.13538,,1.0,,1.13538,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.246,0,-1,-1,,,70,discount,0.0,,4.0,3.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2016-05-12T17:00:00+00:00,BOS,BOS,0,holding,False,none,False,1,0.21,0.71,0.71,marginal,0.996,,2.273,0.001606,0.369,0,52.92,False,,,,,False,15,bearish,with_trend,False,False,False,,1.13702,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,2016-05-17T14:00:00+00:00,2,2016-05-12T18:00:00+00:00,SHORT,,counter,15.4,False,2,no_fvg,NY,NY,False,False,never_filled,0.553,,,0.5455,1.14462,1.12825,premium,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B3853,EURUSD,2016-05-17T15:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.13694,1.13776,1.13796,1.13612,,1.0,,1.13612,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.134,0,-1,-1,,,59,discount,0.0,,6.0,3.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2016-05-13T04:00:00+00:00,BOS,BOS,0,holding,True,partial,False,0,2.74,3.51,3.51,strong,0.689,2.947,5.338,0.000899,0.645,1,52.92,False,,,,,False,15,bearish,with_trend,False,False,False,,1.13285,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,0,,,,,"pd,eq,sw",False,,,False,,False,2016-05-17T14:00:00+00:00,4,2016-05-13T07:00:00+00:00,SHORT,,counter,27.6,False,4,fresh,Asia,NY,False,False,never_filled,0.851,,,0.5308,1.14462,1.12825,premium,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
B3854,EURUSD,2016-05-18T13:00:00+00:00,,,NY,bearish,BOS BOS,proximal,1.13089,1.13163,1.13183,1.13015,,1.0,,1.13015,1.0,wick,,,,,,,,False,triple,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.745,0,-1,-1,,,13,discount,0.0,,8.0,3.0,1.0,2.0,2.0,0.0,"structure,sweep,fvg,freshness",False,h1_only,2016-05-18T00:00:00+00:00,BOS,BOS,0,holding,True,pristine,True,0,0.87,1.42,1.42,marginal,0.428,0.824,3.06,0.001261,0.241,0,38.071,False,,,,,False,13,bearish,with_trend,False,False,False,,1.12559,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,True,PD,1.1342,0.008,2.5,4.154,2,True,-0.634,,20.0,"pd,eq,sw",False,,,False,,False,2016-05-18T12:00:00+00:00,2,2016-05-18T02:00:00+00:00,SHORT,,counter,40.2,False,2,fresh,Asia,NY,False,False,never_filled,1.0,,,0.1613,1.14462,1.12825,discount,both_discount,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York",,,,,
