setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,tp1_wick,tp1_wick_rr,tp1_zone_source,tp2_wick,tp2_zone_source,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,r_capture_ratio,sl_bar_was_sweep,sl_swept_then_tp1,sl_wick_depth_atr,sl_max_adverse_after_sweep_atr,bars_sl_to_tp1_touch,sl_recovered_to_entry,sl_distance_atr,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,event_candle_delta,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,ob_body_ratio,ob_walkback_depth,chop_at_alert,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,trend_pd_agree,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_retrace_pct_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,day_state_at_alert,pdh_status_at_alert,pdl_status_at_alert,pwh_status_at_alert,pwl_status_at_alert,dist_next_pool_above_atr,dist_next_pool_below_atr,next_pool_above_tier,next_pool_below_tier,trade_toward_pool,last_sweep_age_h1,last_sweep_tier,eqh_above_dist_atr,eqh_above_size,eql_below_dist_atr,eql_below_size,eq_trade_toward,eq_sl_gap_atr,eq_sl_at_risk,eq_last_sweep_age_h1,eq_last_sweep_side,eq_intact_above_count,eq_intact_below_count,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,weekly_pd_position_at_alert,weekly_range_high_at_alert,weekly_range_low_at_alert,weekly_pd_zone_at_alert,pd_zone_agreement_at_alert,approach_speed_atr_at_fill,approach_body_ratio_at_fill,approach_er_at_fill,killzone_blocked,killzone_windows
A6517,EURUSD,2025-03-03T10:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,1.04068,1.03865,1.03845,1.042,,0.65,,1.042,0.65,wick,,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.551,0,-1,-1,,,2,premium,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-03-03T08:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.49,1.77,1.18,marginal,1.273,,1.836,0.001438,0.262,0,55.515,False,,,,,False,10,bearish,ambiguous,False,False,True,bullish,1.04291,62.8,False,True,False,SWEPT_HIGH,swept,intact,intact,intact,8.471,3.276,PW,PW,False,5.0,PD,5.967,2.0,,,True,,,129.0,high,1,0,2025-03-03T09:00:00+00:00,1,2025-03-03T09:00:00+00:00,LONG,,counter,67.9,False,0,no_fvg,London,London,True,False,never_filled,,,0.2789,1.05286,1.03597,discount,mixed,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6518,EURUSD,2025-03-03T11:00:00+00:00,2025-03-03T12:00:00+00:00,2025-03-03T13:00:00+00:00,London,bearish,BOS BOS,proximal,1.04749,1.04873,1.04893,1.04614,,1.09,,1.04495,2.05,zone,,,tp1,1.04614,0.938,1.09,0.0,234.5,True,,0.938,-0.0,1.0,,,,,,,0.873,1,1,-1,99.0,47.0,50,premium,0.0,,7.0,3.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-02-27T09:00:00+00:00,BOS,BOS,0,holding,True,partial,False,0,2.09,3.1,3.1,strong,0.63,1.903,3.2,0.00165,0.558,1,45.001,False,,,,,False,11,bearish,counter_trend,True,False,True,bullish,1.03597,75.7,False,False,False,EXPANSION_UP,broken,intact,intact,intact,3.255,6.982,PW,PW,False,6.0,PD,1.073,2.0,,,False,0.2,True,130.0,high,1,0,2025-03-03T10:00:00+00:00,1,2025-02-27T13:00:00+00:00,SHORT,,aligned,238.3,False,2,fresh,London,London,True,True,Both,,,0.6821,1.05286,1.03597,premium,both_premium,3.127,0.651,0.58,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6519,EURUSD,2025-03-03T12:00:00+00:00,2025-03-03T14:00:00+00:00,2025-03-03T15:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.0482,1.04956,1.04976,1.04749,,0.52,,1.04749,0.52,wick,,,sl,1.04976,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,True,0.371,16.468,4.0,True,0.919,1,-1,-1,115.0,66.0,65,premium,1.0,True,4.0,4.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2025-02-26T19:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,2,0.12,0.35,0.24,marginal,0.683,,0.548,0.001698,0.233,0,39.425,False,,,,,False,12,bearish,counter_trend,True,False,True,bullish,1.03597,89.5,False,False,False,EXPANSION_UP,broken,intact,intact,intact,2.745,7.203,PW,PW,False,7.0,PD,0.624,2.0,,,False,-0.294,False,131.0,high,1,0,2025-03-03T11:00:00+00:00,1,2025-02-26T20:00:00+00:00,SHORT,,aligned,202.8,False,0,no_fvg,NY,NY,False,True,Fill only,,,0.7241,1.05286,1.03597,premium,both_premium,1.773,0.565,0.871,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6520,EURUSD,2025-03-04T09:00:00+00:00,,,London,bullish,Confirmation BOS,proximal,1.04837,1.04726,1.04706,1.04898,1.04961,0.55,1.12,1.04898,0.55,wick,1.04961,wick,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.862,0,-1,-1,,,6,premium,0.0,,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-03-04T03:00:00+00:00,BOS,Confirm,0,holding,False,none,False,0,0.97,1.74,1.74,solid,0.599,,7.276,0.00152,0.385,0,47.339,False,,,,,False,9,bullish,with_trend,False,False,False,,1.05241,31.0,False,True,False,INSIDE,intact,intact,intact,intact,1.349,6.263,PD,PD,True,,,,,,,,,,7.0,high,0,0,2025-03-04T08:00:00+00:00,1,2025-03-04T08:00:00+00:00,LONG,,counter,75.4,False,1,no_fvg,Asia,London,False,False,never_filled,,,0.7342,1.05286,1.03597,premium,both_premium,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6521,EURUSD,2025-03-05T15:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.06987,1.06744,1.06724,1.07222,,0.97,,1.07222,0.97,wick,,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,0.936,0,-1,-1,,,4,premium,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-03-05T11:00:00+00:00,BOS,BOS,0,holding,False,none,False,0,1.63,1.87,1.87,solid,0.794,,4.28,0.002809,0.825,0,33.095,False,,,,,False,15,bullish,with_trend,False,False,False,,1.07772,44.8,False,True,False,EXPANSION_UP,broken,intact,broken,intact,,8.111,,PD,False,10.0,PD,,,8.268,2.0,False,7.331,False,29.0,high,0,1,2025-03-05T14:00:00+00:00,1,2025-03-05T14:00:00+00:00,LONG,,counter,81.2,False,4,no_fvg,London,NY,False,False,never_filled,,,2.0071,1.05286,1.03597,premium,both_premium,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6522,EURUSD,2025-03-06T14:00:00+00:00,2025-03-06T17:00:00+00:00,2025-03-06T18:00:00+00:00,NY,bullish,BOS BOS,proximal,1.08034,1.07807,1.07787,1.08201,,0.74,,1.08201,0.74,wick,,,sl,1.07787,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,True,0.56,0.191,12.0,True,1.048,1,-1,-1,7.0,4.0,4,discount,0.0,,6.0,3.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2025-03-06T10:00:00+00:00,BOS,BOS,0,holding,False,none,True,0,0.16,1.07,1.07,marginal,0.878,,1.629,0.002357,0.367,0,59.524,False,,,,,False,14,bullish,with_trend,True,False,False,,1.08455,68.3,False,True,False,EXPANSION_UP,broken,intact,broken,intact,,8.544,,PD,False,13.0,PD,0.802,2.0,0.98,2.0,True,-0.068,False,60.0,high,1,2,2025-03-06T13:00:00+00:00,1,2025-03-06T13:00:00+00:00,LONG,,aligned,35.4,False,6,no_fvg,London,NY,False,False,Neither,,,2.627,1.05286,1.03597,premium,mixed,0.382,0.331,0.381,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6523,EURUSD,2025-03-06T18:00:00+00:00,2025-03-06T18:00:00+00:00,2025-03-06T18:00:00+00:00,NY,bullish,BOS BOS,proximal,1.07922,1.07826,1.07806,1.08201,,2.91,,1.08201,2.91,wick,,,sl,1.07806,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,True,0.568,0.241,12.0,True,0.436,0,-1,-1,21.0,17.0,21,discount,0.0,,3.0,3.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2025-03-05T21:00:00+00:00,BOS,BOS,0,holding,False,none,False,2,0.69,0.78,0.78,marginal,0.286,,7.325,0.002661,0.421,0,61.406,False,,,,,False,18,bullish,with_trend,True,False,False,,1.08541,24.6,False,False,False,EXPANSION_UP,broken,intact,broken,intact,,7.148,,PD,False,17.0,PD,,,0.447,2.0,False,0.011,True,64.0,high,0,2,2025-03-06T17:00:00+00:00,1,2025-03-06T01:00:00+00:00,LONG,,aligned,28.3,False,5,no_fvg,Other,NY,False,False,Neither,,,2.5607,1.05286,1.03597,premium,mixed,1.522,0.372,0.029,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6524,EURUSD,2025-03-07T16:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.07897,1.07722,1.07702,1.08201,,1.74,,1.08201,1.74,wick,,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.231,0,-1,-1,,,19,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-03-06T21:00:00+00:00,BOS,BOS,1,holding,True,pristine,False,0,0.45,0.68,0.68,marginal,0.979,0.215,4.433,0.001584,0.387,3,41.457,False,,,,,False,16,bullish,with_trend,True,False,False,,1.08887,94.5,False,True,False,EXPANSION_UP,broken,intact,broken,intact,,1.528,,PD,False,7.0,PD,,,,,,,,86.0,high,0,0,2025-03-07T15:00:00+00:00,1,2025-03-07T09:00:00+00:00,LONG,,aligned,22.8,False,1,fresh,Other,NY,False,False,never_filled,A First Pullback,premium,2.5459,1.05286,1.03597,premium,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6525,EURUSD,2025-03-10T08:00:00+00:00,2025-03-10T09:00:00+00:00,2025-03-10T09:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.08343,1.08469,1.08489,1.08256,,0.69,,1.08256,0.69,wick,,,sl,1.08489,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,False,False,0.5,,2.0,,0.924,0,-1,-1,3.0,2.0,2,premium,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-03-10T06:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.22,0.97,0.64,marginal,0.671,,1.178,0.001579,0.208,0,42.588,False,,,,,False,8,bullish,ambiguous,False,False,True,bearish,1.0811,70.2,False,False,False,INSIDE,intact,intact,intact,intact,3.445,3.806,PW,PD,False,,,,,,,,,,102.0,high,0,0,2025-03-10T07:00:00+00:00,1,2025-03-10T07:00:00+00:00,SHORT,,aligned,65.3,False,0,no_fvg,London,London,True,False,OB only,,,0.8912,1.08887,1.03885,premium,both_premium,-1.583,0.475,0.662,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6526,EURUSD,2025-03-11T09:00:00+00:00,,,London,bullish,BOS BOS,proximal,1.08557,1.08335,1.08315,1.08709,,0.68,,1.08709,0.68,wick,,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.311,0,-1,-1,,,4,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-03-11T05:00:00+00:00,BOS,BOS,1,holding,True,pristine,False,0,0.84,1.79,1.79,solid,1.094,0.515,3.092,0.001846,0.797,0,36.144,False,,,,,False,9,bullish,with_trend,True,False,False,,1.09194,62.5,False,True,False,EXPANSION_UP,broken,intact,broken,intact,,2.746,,PD,False,2.0,PD,,,,,,,,2.0,high,0,0,2025-03-11T08:00:00+00:00,1,2025-03-11T07:00:00+00:00,LONG,,aligned,44.3,False,1,fresh,Asia,London,False,False,never_filled,A First Pullback,premium,0.934,1.08887,1.03885,premium,mixed,,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6527,EURUSD,2025-03-12T13:00:00+00:00,2025-03-13T11:00:00+00:00,2025-03-13T12:00:00+00:00,NY,bullish,BOS BOS,proximal,1.08557,1.08335,1.08315,1.08709,,0.68,,1.08709,0.68,wick,,,sl,1.08315,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,True,0.303,0.493,3.0,True,1.311,1,-1,-1,54.0,52.0,32,discount,0.0,,6.0,3.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",True,h1_only,2025-03-11T05:00:00+00:00,BOS,BOS,1,holding,True,partial,False,0,0.84,1.79,1.79,solid,1.094,0.515,3.092,0.001846,0.797,0,51.873,False,,,,,False,13,bullish,counter_trend,True,False,True,bearish,1.09472,70.5,False,True,False,INSIDE,intact,intact,broken,intact,4.956,1.668,PD,PD,False,,,,,,,,,,30.0,high,0,0,2025-03-12T12:00:00+00:00,2,2025-03-11T07:00:00+00:00,LONG,,aligned,44.3,False,1,fresh,Asia,London,False,True,Fill only,,,0.934,1.08887,1.03885,premium,mixed,-0.276,0.38,0.445,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6528,EURUSD,2025-03-13T07:00:00+00:00,2025-03-13T07:00:00+00:00,2025-03-13T09:00:00+00:00,London,bearish,Confirmation BOS,proximal,1.08815,1.08954,1.08974,1.08557,,1.86,,1.08355,3.31,zone,,,sl,1.08815,0.0,1.86,0.0,0.0,True,,1.409,-0.17,0.0,True,True,0.36,2.712,2.0,True,1.396,2,4,-1,3.0,1.0,3,premium,0.0,,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-03-13T04:00:00+00:00,BOS,Confirm,0,holding,False,none,False,0,0.11,0.89,0.89,marginal,1.045,,2.423,0.001139,0.681,0,53.979,False,,,,,False,7,bearish,with_trend,True,False,False,,1.08695,35.5,False,False,False,INSIDE,intact,intact,broken,intact,4.424,0.509,PD,PD,True,,,,,,,,,,,,0,0,2025-03-13T06:00:00+00:00,1,2025-03-13T06:00:00+00:00,SHORT,True,aligned,60.3,False,1,no_fvg,Asia,London,False,True,Fill only,,,0.9856,1.08887,1.03885,premium,both_premium,-0.948,0.713,0.376,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6529,EURUSD,2025-03-13T13:00:00+00:00,,,NY,bullish,BOS BOS,proximal,1.07897,1.07722,1.07702,1.08201,,1.74,,1.08201,1.74,wick,,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.231,0,-1,-1,,,112,discount,0.0,,7.0,3.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2025-03-06T21:00:00+00:00,BOS,BOS,1,holding,True,pristine,False,0,0.45,0.68,0.68,marginal,0.979,0.215,4.433,0.001584,0.387,3,47.568,False,,,,,False,13,bearish,counter_trend,False,False,False,,1.09472,96.4,False,True,False,EXPANSION_DOWN,intact,broken,broken,intact,8.98,25.335,PD,PW,True,,,,,,,,,,7.0,low,0,0,2025-03-13T12:00:00+00:00,2,2025-03-07T09:00:00+00:00,LONG,,aligned,22.8,False,1,fresh,Other,NY,False,False,never_filled,,,0.8021,1.08887,1.03885,premium,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6530,EURUSD,2025-03-14T09:00:00+00:00,2025-03-14T10:00:00+00:00,2025-03-14T10:00:00+00:00,London,bearish,Confirmation BOS,proximal,1.08815,1.08954,1.08974,1.0857,,1.76,,1.0844,2.7,zone,,,sl,1.08974,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,,True,False,1.317,5.029,,True,1.396,0,-1,-1,30.0,28.0,29,premium,0.0,,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2025-03-13T04:00:00+00:00,BOS,Confirm,0,holding,False,none,False,1,0.11,0.89,0.89,marginal,1.045,,2.423,0.001139,0.681,0,62.145,False,,,,,False,9,bearish,with_trend,True,False,False,,1.08224,73.1,False,False,False,INSIDE,intact,intact,broken,intact,1.378,5.187,PD,PD,False,,,,,,,,,,,,0,0,2025-03-14T08:00:00+00:00,2,2025-03-13T06:00:00+00:00,SHORT,,aligned,60.3,False,1,no_fvg,Asia,London,False,False,Neither,,,0.9856,1.08887,1.03885,premium,both_premium,1.238,0.42,0.148,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6531,EURUSD,2025-03-14T11:00:00+00:00,,,London,bullish,CHoCH CHoCH,proximal,1.08507,1.08329,1.08309,1.08716,,1.17,,1.08716,1.17,wick,,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,,,,,,1.332,0,-1,-1,,,5,discount,1.0,True,7.0,4.0,0.0,0.0,2.0,1.0,"structure,freshness",False,h1_only,2025-03-14T06:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,2.31,2.74,1.83,solid,1.063,,0.72,0.001486,0.791,1,35.335,False,,,,,False,11,bearish,ambiguous,False,False,True,bullish,1.09124,95.8,False,False,False,SWEPT_HIGH,swept,intact,broken,intact,,1.904,,PD,False,0.0,PD,,,,,,,,29.0,low,0,0,2025-03-14T10:00:00+00:00,1,2025-03-14T10:00:00+00:00,LONG,,aligned,19.9,False,0,no_fvg,London,London,True,False,never_filled,,,0.924,1.08887,1.03885,premium,mixed,,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6532,EURUSD,2025-03-17T10:00:00+00:00,2025-03-19T07:00:00+00:00,2025-03-19T08:00:00+00:00,London,bullish,Confirmation BOS,proximal,1.08823,1.08716,1.08696,1.08887,1.08941,0.6,1.1,1.08887,0.6,wick,1.08941,wick,tp1,1.08887,0.504,0.6,1.1,126.0,True,,0.504,-0.0,1.0,,,,,,,1.065,1,1,1,50.0,46.0,5,discount,0.0,,7.0,4.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2025-03-17T05:00:00+00:00,BOS,Confirm,0,holding,False,none,True,0,0.49,1.36,1.36,marginal,0.729,,3.865,0.001193,0.563,1,61.216,False,,,,,False,10,bullish,with_trend,True,False,False,,1.09007,34.9,False,False,False,INSIDE,intact,intact,intact,intact,2.523,4.343,PD,PD,True,,,,,,,,,,,,0,0,2025-03-17T09:00:00+00:00,1,2025-03-17T09:00:00+00:00,LONG,,aligned,21.8,False,1,no_fvg,Asia,London,False,True,Fill only,,,0.5436,1.09472,1.0805,premium,mixed,1.501,0.533,0.486,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6533,EURUSD,2025-03-18T13:00:00+00:00,2025-03-19T07:00:00+00:00,2025-03-19T08:00:00+00:00,NY,bullish,Confirmation BOS,proximal,1.08823,1.08716,1.08696,1.08887,1.08941,0.6,1.1,1.08887,0.6,wick,1.08941,wick,tp1,1.08887,0.504,0.6,1.1,126.0,True,,0.504,-0.0,1.0,,,,,,,1.065,1,1,1,50.0,46.0,32,discount,0.0,,7.0,4.0,1.0,0.0,2.0,0.0,"structure,sweep,freshness",False,h1_only,2025-03-17T05:00:00+00:00,BOS,Confirm,0,holding,False,full,True,0,0.49,1.36,1.36,marginal,0.729,,3.865,0.001193,0.563,1,42.355,False,,,,,False,13,bullish,with_trend,True,False,False,,1.09547,67.9,False,False,False,EXPANSION_UP,broken,intact,broken,intact,,1.157,,PD,False,,,,,,,,,,,,0,0,2025-03-18T12:00:00+00:00,2,2025-03-17T09:00:00+00:00,LONG,,aligned,21.8,False,1,stale,Asia,London,False,True,Fill only,,,0.5436,1.09472,1.0805,premium,mixed,1.501,0.533,0.486,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6534,EURUSD,2025-03-19T05:00:00+00:00,2025-03-19T05:00:00+00:00,2025-03-19T07:00:00+00:00,Asia,bearish,CHoCH CHoCH,proximal,1.09356,1.09473,1.09493,1.09136,1.08924,1.88,3.69,1.09034,2.75,zone,1.08924,wick,tp1,1.09136,1.606,1.88,3.69,401.5,True,,1.606,-0.0,1.0,,,,,,,1.231,2,2,2,3.0,1.0,3,premium,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2025-03-19T02:00:00+00:00,CHoCH,CHoCH,0,holding,False,none,False,0,0.16,0.89,0.59,marginal,0.872,,0.674,0.001113,0.381,0,55.889,False,,,,,False,5,bullish,ambiguous,False,False,True,bearish,1.0928,67.9,False,False,False,INSIDE,intact,intact,broken,intact,1.716,3.882,PD,PD,False,,,,,,,,,,,,0,0,2025-03-19T04:00:00+00:00,1,2025-03-19T04:00:00+00:00,SHORT,False,aligned,77.8,False,0,no_fvg,Asia,Asia,False,False,Neither,,,0.9184,1.09472,1.0805,premium,both_premium,-0.602,0.472,0.494,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6535,EURUSD,2025-03-19T08:00:00+00:00,2025-03-20T09:00:00+00:00,2025-03-20T12:00:00+00:00,London,bullish,CHoCH CHoCH,proximal,1.08507,1.08329,1.08309,1.08716,,1.17,,1.08716,1.17,wick,,,sl,1.08309,-1.0,-1.0,-1.0,-250.0,True,,0.217,-0.879,-4.608,True,False,0.0,2.267,,True,1.332,3,-1,-1,147.0,95.0,74,discount,1.0,True,8.0,4.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-03-14T06:00:00+00:00,CHoCH,CHoCH,0,holding,True,partial,False,0,2.31,2.74,1.83,solid,1.063,1.702,0.72,0.001486,0.791,1,23.737,False,,,,,False,8,bullish,counter_trend,True,False,True,bearish,1.09547,97.5,False,False,False,SWEPT_LOW,intact,swept,broken,intact,6.997,3.074,PD,PW,False,0.0,PD,6.997,2.0,,,True,,,98.0,low,1,0,2025-03-19T07:00:00+00:00,2,2025-03-14T10:00:00+00:00,LONG,,aligned,19.9,False,0,fresh,London,London,True,False,OB only,,,0.3214,1.09472,1.0805,discount,both_discount,2.018,0.477,0.978,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6536,EURUSD,2025-03-19T15:00:00+00:00,2025-03-20T09:00:00+00:00,2025-03-20T12:00:00+00:00,NY,bullish,CHoCH CHoCH,proximal,1.08507,1.08329,1.08309,1.08745,,1.34,,1.08745,1.34,wick,,,sl,1.08309,-1.0,-1.0,-1.0,-250.0,True,,0.217,-0.879,-4.608,True,False,0.0,2.267,,True,1.332,3,-1,-1,147.0,95.0,81,discount,1.0,True,8.0,4.0,0.0,1.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2025-03-14T06:00:00+00:00,CHoCH,CHoCH,0,holding,True,partial,False,0,2.31,2.74,1.83,solid,1.063,1.702,0.72,0.001486,0.791,1,41.566,False,,,,,False,15,bullish,counter_trend,True,False,True,bearish,1.09547,97.5,False,False,False,SWEPT_LOW,intact,swept,broken,intact,6.997,3.074,PD,PW,False,4.0,PD,6.997,2.0,,,True,,,105.0,low,1,0,2025-03-19T14:00:00+00:00,3,2025-03-14T10:00:00+00:00,LONG,,aligned,19.9,False,0,fresh,London,London,True,False,OB only,,,0.3214,1.09472,1.0805,discount,both_discount,2.018,0.477,0.978,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A6537,EURUSD,2025-03-19T16:00:00+00:00,2025-03-20T09:00:00+00:00,2025-03-20T10:00:00+00:00,NY,bullish,Confirmation BOS,proximal,1.0842,1.0826,1.0824,1.0853,,0.69,,1.08709,1.81,zone,,,tp1,1.0853,0.611,0.69,0.0,152.75,True,,0.611,-0.0,1.0,,,,,,,1.814,1,1,-1,233.0,162.0,168,discount,0.0,,4.0,4.0,0.0,0.0,0.0,0.0,structure,False,h1_only,2025-03-10T16:00:00+00:00,BOS,Confirm,0,holding,False,none,False,2,0.64,0.78,0.78,marginal,1.411,,6.874,0.000992,0.457,8,42.534,False,,,,,False,16,bullish,counter_trend,True,False,True,bearish,1.09547,110.4,True,False,False,EXPANSION_DOWN,intact,broken,broken,intact,11.359,3.729,PD,PW,False,5.0,PD,,,,,,,,,,0,0,2025-03-19T15:00:00+00:00,1,2025-03-11T15:00:00+00:00,LONG,,aligned,11.3,False,1,no_fvg,NY,London,False,False,Neither,,,0.2602,1.09472,1.0805,discount,both_discount,3.024,0.477,0.978,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
