setup_id,pair,alert_ts,fill_ts,exit_ts,session,direction,event,entry_zone,entry,sl_raw,sl_initial,tp1,tp2,tp1_rr,tp2_rr,exit_reason,exit_price,r_realised,r_if_exit_tp1,r_if_exit_tp2,pnl_usd,eligible_for_headline,headline_exclusion,mfe_r,mae_r,sl_bar_was_sweep,sl_swept_then_tp1,bars_to_exit,bars_to_tp1,bars_to_tp2,ob_to_fill_hours,bars_break_to_pullback,ob_age_h1_bars,pd_zone,reversal_pct,reversed_from_extreme,score,structure_pts,sweep_pts,fvg_pts,freshness_pts,killzone_pts,confluences_present,sl_collision,model,ob_timestamp,bos_tag,bos_tier,bos_verdict,fvg_present,fvg_mitigation,sweep_present,ob_touches,break_close_atr,break_body_atr,break_excess,break_tier,ob_range_atr,fvg_size_atr,impulse_leg_atr,atr_at_ob,ob_body_ratio,ob_walkback_depth,news_blocked,news_event_title,news_event_currency,news_event_source,news_event_ts,ist_blocked,alert_utc_hour,h1_trend,trend_alignment,structure_ranging_at_alert,flip_pending_at_alert,flip_pending_dir_at_alert,leg_extreme_at_alert,leg_retrace_pct_at_alert,leg_extreme_clipped,dr_ceiling_broken_at_ob,dr_floor_broken_at_ob,alert_bar_ts,alert_seq,bos_timestamp,bias,be_arm_bar_touched_entry,pd_alignment,pd_pct,weekend_blocked,bos_sequence_count,fvg_state,ob_session,fill_session,ob_in_killzone,fill_in_killzone,killzone_alignment,setup_badge,setup_badge_kind,killzone_blocked,killzone_windows
A5499,EURUSD,2008-01-10T14:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,1.4682,1.4638,1.4636,1.4748,1.4761,1.5,1.8,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,3,discount,1.0,True,6.0,4.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2008-01-10T11:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,0,1.42,2.68,1.79,solid,1.638,,1.131,0.002564,0.881,0,False,,,,,False,14,bearish,against_trend,False,True,bullish,1.4751,86.3,False,True,False,2008-01-10T13:00:00+00:00,1,2008-01-10T13:00:00+00:00,LONG,,aligned,38.9,False,0,no_fvg,London,NY,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5500,EURUSD,2008-01-11T11:00:00+00:00,2008-01-11T11:00:00+00:00,2008-01-11T13:00:00+00:00,London,bearish,BOS BOS,proximal,1.4793,1.4812,1.4814,1.4708,1.4701,4.47,4.84,sl,1.4793,0.0,-1.0,-1.0,0.0,True,,1.0,-0.619,True,False,2,-1,-1,9.0,4.0,9,premium,0.0,,5.0,3.0,1.0,0.0,1.0,0.0,"structure,sweep,freshness",False,h1_only,2008-01-11T02:00:00+00:00,BOS,BOS,holding,False,none,True,1,0.45,1.26,1.26,marginal,0.888,,1.254,0.001914,0.529,2,False,,,,,False,11,bearish,with_trend,False,False,,1.476,67.3,False,False,False,2008-01-11T10:00:00+00:00,1,2008-01-11T07:00:00+00:00,SHORT,True,aligned,87.4,False,2,no_fvg,Asia,London,False,False,Neither,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5501,EURUSD,2008-01-14T06:00:00+00:00,2008-01-15T15:00:00+00:00,2008-01-15T20:00:00+00:00,Asia,bullish,CHoCH CHoCH,proximal,1.4818,1.4808,1.4806,1.4873,,5.5,,sl,1.4818,0.0,-1.0,-1.0,0.0,True,,2.75,-0.0,False,False,5,-1,-1,35.0,34.0,2,premium,0.0,False,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2008-01-14T04:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,0,3.15,2.77,1.85,solid,0.384,,1.63,0.002086,0.375,0,False,,,,,False,6,bearish,against_trend,False,True,bullish,1.4873,54.5,False,True,False,2008-01-14T05:00:00+00:00,1,2008-01-14T05:00:00+00:00,LONG,False,counter,76.4,False,0,no_fvg,Asia,NY,False,True,Fill only,,,True,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5502,EURUSD,2008-01-16T12:00:00+00:00,2008-01-16T13:00:00+00:00,2008-01-16T14:00:00+00:00,London,bearish,CHoCH CHoCH,proximal,1.4827,1.486,1.4862,1.477,,1.73,,tp1,1.477,1.629,1.73,5.8,407.25,True,,1.629,-0.0,,,1,1,-1,11.0,5.0,10,discount,1.0,True,7.0,4.0,0.0,1.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2008-01-16T02:00:00+00:00,CHoCH,CHoCH,holding,True,partial,False,0,2.07,1.51,1.01,marginal,1.24,0.88,0.68,0.0025,0.839,1,False,,,,,False,12,bullish,against_trend,False,True,bearish,1.4767,53.6,False,False,False,2008-01-16T11:00:00+00:00,1,2008-01-16T08:00:00+00:00,SHORT,,counter,35.6,False,0,fresh,Asia,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5503,EURUSD,2008-01-16T15:00:00+00:00,,,NY,bearish,CHoCH CHoCH,proximal,1.4777,1.4818,1.482,1.4701,,1.85,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,3,discount,1.0,True,6.0,4.0,0.0,0.0,1.0,1.0,"structure,freshness",False,h1_only,2008-01-16T12:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,1,1.36,3.04,2.03,solid,1.09,,0.475,0.003579,0.359,0,False,,,,,False,15,bullish,against_trend,True,True,bearish,1.4675,50.0,False,False,True,2008-01-16T14:00:00+00:00,1,2008-01-16T13:00:00+00:00,SHORT,,counter,41.5,False,0,no_fvg,London,NY,True,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5504,EURUSD,2008-01-17T08:00:00+00:00,2008-01-17T10:00:00+00:00,2008-01-17T11:00:00+00:00,London,bearish,BOS BOS,proximal,1.4641,1.468,1.4682,1.4593,,1.23,,sl,1.4682,-1.0,-1.0,-1.0,-250.0,True,,0.0,-0.0,False,False,1,-1,-1,5.0,3.0,3,discount,0.0,,5.0,3.0,0.0,0.0,2.0,0.0,"structure,freshness",False,h1_only,2008-01-17T05:00:00+00:00,BOS,BOS,holding,False,none,False,0,1.15,1.37,1.37,marginal,1.542,,1.833,0.0024,0.73,0,False,,,,,False,8,bearish,with_trend,False,False,,1.4589,54.2,False,False,False,2008-01-17T07:00:00+00:00,1,2008-01-17T07:00:00+00:00,SHORT,,counter,14.6,False,2,no_fvg,Asia,London,False,False,Neither,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5505,EURUSD,2008-01-17T12:00:00+00:00,2008-01-18T01:00:00+00:00,2008-01-18T07:00:00+00:00,London,bullish,BOS BOS,proximal,1.4619,1.46,1.4598,1.4678,,3.11,,sl,1.4619,0.0,3.11,0.0,0.0,True,,1.81,-0.0,True,True,6,11,-1,16.0,14.0,3,discount,0.0,,8.0,3.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2008-01-17T09:00:00+00:00,BOS,BOS,holding,True,pristine,False,0,0.44,1.31,1.31,marginal,0.579,0.886,1.26,0.002936,0.294,0,False,,,,,False,12,bullish,with_trend,False,False,,1.4709,132.4,False,False,False,2008-01-17T11:00:00+00:00,1,2008-01-17T11:00:00+00:00,LONG,False,aligned,9.0,False,1,fresh,London,Asia,True,False,OB only,A First Pullback,premium,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5506,EURUSD,2008-01-17T15:00:00+00:00,,,NY,bearish,Confirmation BOS,proximal,1.4786,1.4835,1.4837,1.4701,,1.73,,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,26,premium,0.0,,9.0,4.0,0.0,2.0,2.0,1.0,"structure,fvg,freshness",False,h1_only,2008-01-16T13:00:00+00:00,BOS,Confirm,holding,True,pristine,False,0,3.97,5.82,5.82,strong,1.864,3.926,4.442,0.002521,0.298,0,False,,,,,False,15,bullish,against_trend,False,True,bearish,1.4589,67.9,False,False,False,2008-01-17T14:00:00+00:00,1,2008-01-16T14:00:00+00:00,SHORT,,aligned,58.8,False,1,fresh,NY,NY,True,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5507,EURUSD,2008-01-23T13:00:00+00:00,,,NY,bullish,CHoCH CHoCH,proximal,1.4435,1.4377,1.4375,1.4559,1.4645,2.14,3.62,never_filled,,0.0,0.0,0.0,0.0,False,never_filled,0.0,0.0,,,0,-1,-1,,,31,discount,1.0,True,8.0,4.0,0.0,2.0,2.0,0.0,"structure,fvg,freshness",False,h1_only,2008-01-22T06:00:00+00:00,CHoCH,CHoCH,holding,True,pristine,False,0,3.1,1.72,1.14,marginal,1.738,0.31,0.683,0.003221,0.786,1,False,,,,,False,13,bullish,with_trend,False,True,bearish,1.4683,98.8,False,False,False,2008-01-23T12:00:00+00:00,1,2008-01-22T13:00:00+00:00,LONG,,aligned,22.0,False,0,fresh,Asia,NY,False,False,never_filled,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
A5508,EURUSD,2008-01-23T15:00:00+00:00,2008-01-23T15:00:00+00:00,2008-01-23T18:00:00+00:00,NY,bearish,CHoCH CHoCH,proximal,1.4564,1.459,1.4592,1.4456,,4.15,,sl,1.4592,-1.0,-1.0,-1.0,-250.0,True,,0.536,-0.393,False,False,3,-1,-1,4.0,3.0,4,discount,1.0,True,5.0,4.0,0.0,0.0,1.0,0.0,"structure,freshness",False,h1_only,2008-01-23T11:00:00+00:00,CHoCH,CHoCH,holding,False,none,False,1,2.44,1.52,1.01,marginal,0.65,,0.542,0.003693,0.208,0,False,,,,,False,15,bullish,against_trend,False,True,bearish,1.451,44.3,False,False,False,2008-01-23T14:00:00+00:00,1,2008-01-23T12:00:00+00:00,SHORT,,counter,31.2,False,0,no_fvg,London,NY,False,True,Fill only,,,False,"London Open: 02:00-05:00 America/New_York, New York (forex): 07:00-10:00 America/New_York, London Close: 10:00-12:00 America/New_York"
